0:0:0:0:0:0:0:1 - - [25/Oct/2023:18:34:00 +0530] "GET /LeavingEmp/deleteEmp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2023:18:34:05 +0530] "GET /LeavingEmp/deleteEmp.jsp HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [25/Oct/2023:18:34:05 +0530] "GET /LeavingEmp/deleteEmp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2023:18:34:29 +0530] "GET /LeavingEmp/leavingHistory.jsp HTTP/1.1" 200 403
0:0:0:0:0:0:0:1 - - [25/Oct/2023:18:34:29 +0530] "GET /LeavingEmp/deleteEmp.css HTTP/1.1" 200 1017
0:0:0:0:0:0:0:1 - - [25/Oct/2023:18:34:32 +0530] "GET /LeavingEmp/deleteEmp.jsp HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [25/Oct/2023:18:34:32 +0530] "GET /LeavingEmp/deleteEmp.css HTTP/1.1" 200 1017
0:0:0:0:0:0:0:1 - - [25/Oct/2023:18:34:35 +0530] "GET /LeavingEmp/UpdateDetails.jsp HTTP/1.1" 200 829
0:0:0:0:0:0:0:1 - - [25/Oct/2023:18:34:35 +0530] "GET /LeavingEmp/deleteEmp.css HTTP/1.1" 200 1017
0:0:0:0:0:0:0:1 - - [25/Oct/2023:18:35:07 +0530] "GET /LeavingEmp/success.jsp HTTP/1.1" 200 229
0:0:0:0:0:0:0:1 - - [25/Oct/2023:18:38:17 +0530] "GET /LeavingEmp/deleteEmp.jsp HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [25/Oct/2023:18:38:17 +0530] "GET /LeavingEmp/deleteEmp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2023:18:38:37 +0530] "GET /LeavingEmp/success.jsp HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [25/Oct/2023:18:42:24 +0530] "GET /LeavingEmp/deleteEmp.jsp HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [25/Oct/2023:18:42:24 +0530] "GET /LeavingEmp/deleteEmp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2023:18:42:27 +0530] "GET /LeavingEmp/leavingHistory.jsp HTTP/1.1" 200 403
0:0:0:0:0:0:0:1 - - [25/Oct/2023:18:43:05 +0530] "GET /LeavingEmp/UpdateDetails.jsp HTTP/1.1" 200 897
0:0:0:0:0:0:0:1 - - [25/Oct/2023:18:43:21 +0530] "GET /LeavingEmp/UpdateDetails.jsp HTTP/1.1" 200 897
0:0:0:0:0:0:0:1 - - [25/Oct/2023:18:43:21 +0530] "GET /LeavingEmp/deleteEmp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2023:19:08:20 +0530] "GET /LeavingEmp/deleteEmp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2023:19:11:16 +0530] "GET /LeavingEmp/LeavingInsert.jsp HTTP/1.1" 200 2281
0:0:0:0:0:0:0:1 - - [25/Oct/2023:19:11:16 +0530] "GET /LeavingEmp/Leaving.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2023:19:12:17 +0530] "POST /LeavingEmp/insert HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [25/Oct/2023:19:12:51 +0530] "POST /LeavingEmp/insert HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [25/Oct/2023:19:13:13 +0530] "GET /LeavingEmp/leavingHistory.jsp HTTP/1.1" 200 403
0:0:0:0:0:0:0:1 - - [25/Oct/2023:19:13:13 +0530] "GET /LeavingEmp/deleteEmp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2023:19:13:32 +0530] "POST /LeavingEmp/leaving HTTP/1.1" 200 895
0:0:0:0:0:0:0:1 - - [25/Oct/2023:19:15:33 +0530] "POST /LeavingEmp/leaving HTTP/1.1" 200 942
0:0:0:0:0:0:0:1 - - [25/Oct/2023:19:16:34 +0530] "POST /LeavingEmp/leaving HTTP/1.1" 200 942
0:0:0:0:0:0:0:1 - - [25/Oct/2023:19:16:40 +0530] "POST /LeavingEmp/leaving HTTP/1.1" 200 942
0:0:0:0:0:0:0:1 - - [25/Oct/2023:19:16:42 +0530] "GET /LeavingEmp/UpdateDetails.jsp?fname=Premila&lname=+Fenando&id=16&eemail=premila%40gmail.com&ereason=parents+are+sick HTTP/1.1" 200 927
0:0:0:0:0:0:0:1 - - [25/Oct/2023:19:16:47 +0530] "GET /LeavingEmp/UpdateDetails.jsp?fname=Premila&lname=+Fenando&id=16&eemail=premila%40gmail.com&ereason=parents+are+sick HTTP/1.1" 200 927
0:0:0:0:0:0:0:1 - - [25/Oct/2023:19:18:31 +0530] "POST /LeavingEmp/leaving HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [25/Oct/2023:19:18:31 +0530] "GET /LeavingEmp/deleteEmp.css HTTP/1.1" 200 1298
0:0:0:0:0:0:0:1 - - [25/Oct/2023:19:18:37 +0530] "GET /LeavingEmp/UpdateDetails.jsp?fname=Premila&lname=+Fenando&id=16&eemail=premila%40gmail.com&ereason=parents+are+sick HTTP/1.1" 200 927
0:0:0:0:0:0:0:1 - - [25/Oct/2023:19:18:38 +0530] "GET /LeavingEmp/deleteEmp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2023:19:19:23 +0530] "POST /LeavingEmp/leaving HTTP/1.1" 200 1017
0:0:0:0:0:0:0:1 - - [25/Oct/2023:19:19:23 +0530] "GET /LeavingEmp/deleteEmp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2023:19:19:30 +0530] "GET /LeavingEmp/UpdateDetails.jsp?fname=Premila&lname=+Fenando&id=16&eemail=premila%40gmail.com&ereason=parents+are+sick HTTP/1.1" 200 927
0:0:0:0:0:0:0:1 - - [25/Oct/2023:19:19:30 +0530] "GET /LeavingEmp/deleteEmp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2023:19:19:39 +0530] "POST /LeavingEmp/update HTTP/1.1" 200 1029
0:0:0:0:0:0:0:1 - - [25/Oct/2023:19:19:39 +0530] "GET /LeavingEmp/deleteEmp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2023:19:19:53 +0530] "POST /LeavingEmp/leaving HTTP/1.1" 200 1029
0:0:0:0:0:0:0:1 - - [25/Oct/2023:19:19:53 +0530] "GET /LeavingEmp/deleteEmp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2023:19:19:57 +0530] "GET /LeavingEmp/UpdateDetails.jsp?fname=Premilajay&lname=++Fenando&id=16&eemail=premila%40gmail.com&ereason=parents+are+sick HTTP/1.1" 200 931
0:0:0:0:0:0:0:1 - - [25/Oct/2023:19:20:02 +0530] "POST /LeavingEmp/update HTTP/1.1" 200 1023
0:0:0:0:0:0:0:1 - - [25/Oct/2023:19:20:02 +0530] "GET /LeavingEmp/deleteEmp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2023:19:20:17 +0530] "GET /LeavingEmp/deleteEmp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2023:19:23:01 +0530] "GET /LeavingEmp/success.jsp HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [25/Oct/2023:19:23:04 +0530] "GET /LeavingEmp/success.jsp HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [25/Oct/2023:19:23:24 +0530] "GET /LeavingEmp/success.jsp HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [25/Oct/2023:19:23:25 +0530] "GET /LeavingEmp/success.jsp HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [25/Oct/2023:19:23:25 +0530] "GET /LeavingEmp/success.jsp HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [25/Oct/2023:19:23:25 +0530] "GET /LeavingEmp/success.jsp HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [25/Oct/2023:19:23:25 +0530] "GET /LeavingEmp/success.jsp HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [25/Oct/2023:19:23:25 +0530] "GET /LeavingEmp/success.jsp HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [25/Oct/2023:19:24:12 +0530] "GET /LeavingEmp/success.jsp HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [25/Oct/2023:19:24:12 +0530] "GET /LeavingEmp/success.css HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [25/Oct/2023:19:24:40 +0530] "GET /LeavingEmp/success.jsp HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [25/Oct/2023:19:24:40 +0530] "GET /LeavingEmp/success.css HTTP/1.1" 200 239
0:0:0:0:0:0:0:1 - - [25/Oct/2023:19:24:55 +0530] "GET /LeavingEmp/success.jsp HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [25/Oct/2023:19:24:56 +0530] "GET /LeavingEmp/success.css HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [25/Oct/2023:19:25:54 +0530] "GET /LeavingEmp/deleteEmp.css HTTP/1.1" 304 -
